Tournament,Game Name,Short Name,Abbr-Game,Abbr-Regions List,Region Includes,Smash URL,Alt Reg URL,Info-Cap,Stream-Pools,Stream-Finals,Matcherino URL,$-Pot Split,Info-Seeding,Pools-Bracket Type,Pools-Rounds per Game,Pools-Games per Set,Finals-Phase,Finals-Games per Set,Rules-Game Settings,Rules-Chara Change,Rules-Glitches,Rules-Disconnect,Staff-Lead TOs,Img-Game Logo URL,Rules-Notes,Info-Software Needed,Time-Start (PST),Time-Start (Local),TZ Main,TZ Offset,Info-Platform
EFZ - SA/SUD - (PC-Caster),Eternal Fighter Zero,EFZ,EFZ,SA/SUD,"Chile, Argentina, Perú, Paraguay, Uruguay & Bolivia",https://www.start.gg/tournament/vortex-gallery-online-2023/event/eternal-fighter-zero-sud/overview,,64,https://twitch.tv/marmotato,https://twitch.tv/marmotato,https://matcherino.com/tournaments/87056,60/25/15,Region + Skill,Double Elimination,2/3,2/3,Top 4,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals","    El torneo será jugado en la última versión estable de EfzRevival.


    Kanna está baneada.



    Solo puedes cambiar de personaje luego de perder un juego.



    El stage por defecto es ideal, pero no obligatorio. Si desean, pueden forzar ese stage por regla por temas de visualización, tienen que apretar ESC antes de que comience el round y notificar al oponente.

    Las paletas personalizadas no están prohibidas, solo no utilicen una que oculte al personaje o sus animaciones.",Winner must keep character. Loser may switch.,"    Usar a propósito el bug de proratio de Mizuka está baneado.

    Usar a propósito el bug de vuelo infinito de UNKNOWN está baneado.","Asegúrense de abrir sus puertos, eso facilita tanto a los espectadores como a que el torneo funcione de manera fluida. Si no pueden, al menos asegúrense de tener una manera alternativa de hostear. En el canal de #faq en el servidor hay un toubleshooting que les ayudará a abrirlos.
   
 Para privilegios de hosteo, pueden pedir un método aleatorio para definirlo. Pueden consulatrlo con Onemi#3599.

 Quejas constantes de la conexión de algún jugador/a resultará en una descalificación.
  ",,https://dl.airtable.com/.attachments/9db5a75adf273675c3f566341c0fcdee/6f49c843/EFZ_Logo1.png,"They're in Spanish mainly because it's for SUD, so I thought it would be better that way.","PC, hopefully with forwarded ports",2023-02-12 11:00am,2023-02-12 4:00pm,BRT,-3,PC-Caster
FOA - NA+EU - (PC-Steam),Fight of Animals,FoA,FOA,"NA, EU","North America: Continental United States, Hawaii, Alaska, Mexico, The Caribbean, and Europe 

Europe: Albania, Andorra, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom, Vatican City (Holy See)",https://www.start.gg/tournament/vortex-gallery-online-2023/event/fight-of-animals-na-eu/overview,,None,https://twitch.tv/956productions,https://twitch.tv/956productions,https://matcherino.com/tournaments/87058,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals","- Default Game Settings.
- All characters and costumes are allowed.",Winner must keep character. Loser may switch.,,,Shiburizu,https://dl.airtable.com/.attachments/bce45da680185e12b78a1bd66b48478b/580cf0fa/FightofAnimals.png,,,2023-02-24 4:00pm,2023-02-24 4:00pm,PST,-8,PC-Steam
FEXL - ALL - (PC-Steam),Fighting EX Layer,FEXL,FEXL,ALL,Global,https://www.start.gg/tournament/vortex-gallery-online-2023/event/fighting-ex-layer-global/overview,,64,https://twitch.tv/geki_cp,https://twitch.tv/geki_cp,https://matcherino.com/tournaments/87057,60/30/10,Skill,Double Elimination,3/5,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,Wifi not allowed ,Geki_CP,https://dl.airtable.com/.attachments/68f532a51d2190d9521f809af6501417/2ff32e58/Fighting-EX-Layer-logo.png,,N/A,2023-03-05 12:00pm,2023-03-05 12:00pm,PST,-8,PC-Steam
MOTW - EU - (PC-Fightcade),Garou: Mark of the Wolves,Garou,MOTW,EU,"North Africa, Northern, Central and Eastern Europe, Russia",https://www.start.gg/tournament/vortex-gallery-online-2023/event/garou-mark-of-the-wolves-eu/overview,,32,https://twitch.tv/the_italian_cowboy,https://twitch.tv/the_italian_cowboy,https://matcherino.com/tournaments/87104,60/30/10,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Grand Finals,2/3 Games for Losers Finals,2/3 Games for Winners Finals",,Winner must keep character. Loser may switch.,Spamming insert coin during games is forbidden (messes up with inputs),,Don_Bozzi,https://dl.airtable.com/.attachments/72bc9c724dc0007237e23cc4a579b136/78d55b20/GarouMotW_logo.png,,,2023-03-03 12:00pm,2023-03-03 8:00pm,UTC,0,PC-Fightcade 2
MOTW - NA - (PC-Fightcade),Garou: Mark of the Wolves,Garou,MOTW,NA,"NA (Mexico, USA & Canada)",https://www.start.gg/tournament/vortex-gallery-online-2023/event/garou-mark-of-the-wolves-na/overview,,None, https://www.twitch.tv/garou4life,https://twitch.com/956Productions,https://matcherino.com/tournaments/87105,60/30/10,Random,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,no,no,Jean-Carlo ,https://dl.airtable.com/.attachments/72bc9c724dc0007237e23cc4a579b136/78d55b20/GarouMotW_logo.png,,Having Fightcade 2 installed with Garou already set up.,2023-03-04 4:00pm,2023-03-04 4:00pm,PST,-8,PC-Fightcade 2
MOTW - SA/BR - (PC-Fightcade),Garou: Mark of the Wolves,Garou,MOTW,SA/BR,Brazil only.,https://www.start.gg/tournament/vortex-gallery-online-2023/event/garou-mark-of-the-wolves-br/overview,,64,https://twitch.tv/motwbr,https://twitch.tv/motwbr,https://matcherino.com/tournaments/87103,50/30/20,Skill,Double Elimination,2/3,2/3,Top 3,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",default game settings,Winner must keep character. Loser may switch.,,,"Djibuti,DarkHoward,VWatchDog",https://dl.airtable.com/.attachments/72bc9c724dc0007237e23cc4a579b136/78d55b20/GarouMotW_logo.png,,Fightcade 2,2023-02-12 2:00pm,2023-02-12 7:00pm,BRT,-3,PC-Fightcade 2
GOF2 - ALL - (PC),Glove on Fight 2: Gleam of Force,GOF2,GOF2,ALL,"Hosted Parsec servers provided in EU and NA, open to other regions at own disadvantage. Direct P2P play allowed if both players agree to it.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/glove-on-fight-2-gleam-of-force-global/overview,,64,https://www.twitch.tv/sailorvick,https://www.twitch.tv/sailorvick,https://matcherino.com/tournaments/87078,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals","Game Settings:
- Screen Mode > BG Style: Easy

Matchmaking Settings:
- Timer: 99
- Rounds: 2/5
- HP: 3/5
- Speed: 120

Match Rules:
- Always pick Random Stage",Winner must keep character. Loser may switch.,Stop and report to moderators.,"Players will have the option to play with built-in game netcode instead of Parsec, if previously communicated to the bracket runner, but at the first network issue without a known instantaneous solution will have to report to the bracket runner and switch to Parsec.",Fade,https://dl.airtable.com/.attachments/ecede706438da7854764e4037a82815b/bf10e20e/GOF2_Logo.png,In case of round time out the winner will be decided by the game's dedicated scoring system.,"The only requirement is Parsec. But as an option you can chose to play wih built-in netcode, and a preconfigured build of the game (Windows-only) will be provided for that.
For guides, downloads, and setup help, see: https://discord.gg/yExeRVYu7X",2023-03-04 10:00am,2023-03-04 10:00am,PST,-8,PC-Parsec
GBVS - EU - (PC-Steam),Granblue Fantasy Versus,Granblue,GBVS,EU,All European Regions,https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-eu/overview,,None,https://twitch.tv/monhuncake,https://twitch.tv/monhuncake,https://matcherino.com/tournaments/87060,50/30/20,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals","Stage: Colosseum, Albion
Colour 17 is banned.
Vyrn Weapons allowed.
Lunalu allowed. Lunalu players can disable colour 17 by disabling the relevant DLC on Steam. Due to the nature of the Vira/Avatar Belial character pack DLC, colour 17 cannot be turned off for Vira. If Lunalu rolls Vira with colour 17, the Lunalu player must immediately back out and play colour 1 Vira for the remainder of the set. In the event of a Grand Finals Reset, Lunalu may be selected again normally at the start of the second set.",Winner must keep character. Loser may switch.,,"In the event of a disconnect, contact a TO immediately. The player who disconnected suffers a round loss from the game currently being played.
If a disconnect occurs from the same player twice in the same set, contact a TO immediately. The player who disconnected suffers an immediate disqualification from this tournament.
If you wish the request a connection test, it must be requested during a set. Requesting a connection test after a set has finished will be ignored.
If a connection test is requested and either player in the set rejects adhering to the test, said player will be immediately disqualified from the tournament.",Cakekattekoi,https://dl.airtable.com/.attachments/9debac6c75059916e34cae42b25aa19e/92442f50/Granblue-Fantasy-Versus-logo.png,,,2023-02-11 10:00am,2023-02-11 6:00pm,UTC,0,PC-Steam
GBVS - JP - (PS4),Granblue Fantasy Versus,Granblue,GBVS,JP,Japan,,https://tonamel.com/competition/oacIb,64,https://youtube.com/@yesu_japan,https://youtube.com/@yesu_japan,,N/A,,Single Elimination,,,,,,,,,,https://dl.airtable.com/.attachments/9debac6c75059916e34cae42b25aa19e/92442f50/Granblue-Fantasy-Versus-logo.png,Information about this tournament will be made available at @yesuofficial on Twitter. Please refer to the rules available on the registration page. For communication a dedicated Discord server is available for players participating in YeSU events.,,2023-03-04 4:00am,2023-03-04 9:00pm,JST,9,PS4
GBVS - NA/EC - (PC-Steam),Granblue Fantasy Versus,Granblue,GBVS,NA/EC,"(USA: Alabama, Arkansas, Connecticut, Delaware, District
of Columbia, Florida, Georgia, Illinois, Indiana, Iowa, Kentucky, Louisiana, Maine, Maryland,
Massachusetts, Michigan, Minnesota, Mississippi, Missouri, New Hampshire, New Jersey,
New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee,
Vermont, Virginia, West Virginia, Wisconsin. Canada: New Brunswick, Newfoundland and
Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec)",https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-na-ec/overview,,128,https://www.twitch.tv/gtekfgc,https://www.twitch.tv/gtekfgc,https://matcherino.com/tournaments/87061,50/25/15/10,Skill,Double Elimination,2/3,2/3,Top 3,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,GTek,https://dl.airtable.com/.attachments/9debac6c75059916e34cae42b25aa19e/92442f50/Granblue-Fantasy-Versus-logo.png,,,2023-02-11 1:00pm,2023-02-11 4:00pm,EST,-5,PC-Steam
GBVS - NA/WC - (PC-Steam),Granblue Fantasy Versus,Granblue,GBVS,NA/WC,"(USA: Alaska, Arizona, California, Colorado, Hawaii, Idaho,
Kansas, Montana, Nebraska, Nevada, New Mexico, North Dakota, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming. 
Canada: British Columbia, Yukon, Northwest
Territories, Alberta, Saskatchewan, Manitoba, Nunavut)",https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-na-wc/overview,,128,https://www.twitch.tv/gtekfgc,https://www.twitch.tv/gtekfgc,https://matcherino.com/tournaments/87062,50/25/15/10,Skill,Double Elimination,2/3,2/3,Top 3,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,GTek,https://dl.airtable.com/.attachments/9debac6c75059916e34cae42b25aa19e/92442f50/Granblue-Fantasy-Versus-logo.png,,,2023-02-10 5:00pm,2023-02-10 5:00pm,PST,-8,PC-Steam
GBVS - SA/BR - (PC-Steam),Granblue Fantasy Versus,Granblue,GBVS,SA/BR,"Brazil, Venezuela, Colombia, Ecuador, Guyana, Suriname, French Guiana",https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-br-steam/overview,,None,https://twitch.tv/mark_inotv,https://twitch.tv/mark_inotv,https://matcherino.com/tournaments/87063,50/25/12/7/2/2/1/1,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,Connections above 5f can be decided in coin flip if both players agree.,"Mark I-No,HAP",https://dl.airtable.com/.attachments/9debac6c75059916e34cae42b25aa19e/92442f50/Granblue-Fantasy-Versus-logo.png,Banned Gold colors (Nº 17),,2023-02-18 4:00pm,2023-02-18 9:00pm,BRT,-3,PC-Steam
GBVS - SA/BR - (PS4),Granblue Fantasy Versus,Granblue,GBVS,SA/BR,Brazil only,https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-br-ps4/overview,,None,https://twitch.tv/EC_ShiroAoi,https://twitch.tv/EC_ShiroAoi,https://matcherino.com/tournaments/87064,50/30/20,,Double Elimination,2/3,,Top 8,"2/3 Games for Losers Finals,2/3 Games for Winners Finals,2/3 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,ShiroAoi,https://dl.airtable.com/.attachments/9debac6c75059916e34cae42b25aa19e/92442f50/Granblue-Fantasy-Versus-logo.png,,,2023-02-12 3:00pm,2023-02-12 8:00pm,BRT,-3,PS4
GBVS - SA/SUD - (PC-Steam),Granblue Fantasy Versus,Granblue,GBVS,SA/SUD,"Argentina, Bolivia, Chile, Paraguay, Peru, Uruguay",https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-sud/overview,,None,https://twitch.tv/mashnmix,https://twitch.tv/mashnmix,https://matcherino.com/tournaments/87065,50/25/15/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals","- Stage: Colosseum
- Color 17 is banned",Winner must keep character. Loser may switch.,,,MIX Dark,https://dl.airtable.com/.attachments/9debac6c75059916e34cae42b25aa19e/92442f50/Granblue-Fantasy-Versus-logo.png,,,2023-02-11 4:00pm,2023-02-11 9:00pm,BRT,-3,PC-Steam
GGST - JP - (PC-Steam),Guilty Gear -STRIVE-,Strive,GGST,JP,Japan,,https://tonamel.com/competition/OhIt0,40,https://youtube.com/@yesu_japan,https://youtube.com/@yesu_japan,,,,Double Elimination,,,,,,,,,,https://dl.airtable.com/.attachments/0379c506099e4317174884d45ad6b288/f4dbcc1c/GuiltyGear-STRIVE-logo-white.png,Information about this tournament will be made available at @yesuofficial on Twitter. Please refer to the rules available on the registration page. For communication a dedicated Discord server is available for players participating in YeSU events.,,2023-02-11 3:00am,2023-02-11 8:00pm,JST,9,PC-Steam
GGST - SA/BR - (PC-Steam),Guilty Gear -STRIVE-,Strive,GGST,SA/BR,Brazil only,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-strive-br/overview,,None,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,https://matcherino.com/tournaments/87074,50/30/20,Region + Skill,Double Elimination,2/3,3/5,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,Zate,https://dl.airtable.com/.attachments/0379c506099e4317174884d45ad6b288/f4dbcc1c/GuiltyGear-STRIVE-logo-white.png,,,2023-02-11 3:00pm,2023-02-11 8:00pm,BRT,-3,PC-Steam
GGST - SA/SUD - (PC-Steam),Guilty Gear -STRIVE-,Strive,GGST,SA/SUD,"Argentina, Bolivia, Chile, Ecuador, Paraguay, Perú & Uruguay",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-strive-sud/overview,,None,https://www.twitch.tv/fars_neutral,https://www.twitch.tv/fars_neutral,https://matcherino.com/tournaments/87075,60/30/10,Region + Skill,Double Elimination,2/3,3/5,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Ozz,https://dl.airtable.com/.attachments/0379c506099e4317174884d45ad6b288/f4dbcc1c/GuiltyGear-STRIVE-logo-white.png,,,2023-03-04 2:00pm,2023-03-04 7:00pm,BRT,-3,PC-Steam
GGXRD - EU - (PC-Steam),Guilty Gear Xrd REV 2,Rev 2,GGXRD,EU,"Albania, Andorra, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom, Vatican City (Holy See)

Following countries can test in on a case-by-case basis:
Algeria, Armenia, Azerbaijan, Bahrain, Egypt, Georgia, Iceland, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Libya, Morocco, Oman, Palestine, Russia, Saudi Arabia, Syria, Tunisia, United Arab Emirates, Yemen",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xrd-rev2-eu/overview,,128,https://twitch.tv/dawn_of_revival,https://twitch.tv/dawn_of_revival,https://matcherino.com/tournaments/87076,50/30/20,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.",Antser,https://dl.airtable.com/.attachments/4e1f36a9e166f9b2c22ee81f94405a02/ad770543/Guilty-Gear-Xrd-Rev-2-logo.png,"In the event that there is no final release of the rollback implementation out by the time the tournament takes place, it will be conducted on the rollback beta branch version 2146.",,2023-03-04 10:00am,2023-03-04 6:00pm,UTC,0,PC-Steam
GGXRD - OCE - (PC-Steam),Guilty Gear Xrd REV 2,Rev 2,GGXRD,OCE,"Australia, New Zealand
Other countries listed within the Oceania region (i.e New Caledonia, Papua New Guinea) may be allowed pending connection tests.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xrd-rev2-oce/overview,,None,https://twitch.tv/Halowood,https://twitch.tv/Halowood,https://matcherino.com/tournaments/87077,50/30/20,,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,"In the event of a game crash or disconnect, scoring will be kept for games & rounds, and the current round will be restarted.","Firery,Halowood",https://dl.airtable.com/.attachments/4e1f36a9e166f9b2c22ee81f94405a02/ad770543/Guilty-Gear-Xrd-Rev-2-logo.png,,,2023-02-19 12:00am,2023-02-19 7:00pm,AEDT,11,PC-Steam
GGXRD - SA/SUD - (PC-Steam),Guilty Gear Xrd REV 2,Rev 2,GGXRD,SA/SUD,"Argentina, Chile, Uruguay, Paraguay y Bolivia.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xrd-rev2-sud/overview,,64,https://twitch.tv/2fohmuku,https://twitch.tv/2fohmuku,https://matcherino.com/tournaments/87149,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,Muku,https://dl.airtable.com/.attachments/4e1f36a9e166f9b2c22ee81f94405a02/ad770543/Guilty-Gear-Xrd-Rev-2-logo.png,,Rollback mod for XRD,2023-02-11 3:00pm,2023-02-11 8:00pm,BRT,-3,PC-Steam
GGACPR - EU - (PC-Steam),Guilty Gear XX Accent Core Plus R,+R,GGACPR,EU,"Albania, Andorra, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom, Vatican City (Holy See)

Following countries can test in on a case-by-case basis:
Algeria, Armenia, Azerbaijan, Bahrain, Egypt, Georgia, Iceland, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Libya, Morocco, Oman, Palestine, Russia, Saudi Arabia, Syria, Tunisia, United Arab Emirates, Yemen",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-eu/overview,,64,https://twitch.tv/dawn_of_revival,https://twitch.tv/dawn_of_revival,https://matcherino.com/tournaments/87066,50/30/20,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,No activating Aba Danzai Glitch pre match.,,Antser,https://dl.airtable.com/.attachments/5a69cc478ce0d702fe91d9f10bb4c114/75bbcc2c/Guilty-Gear-XX-Accent-Core-Plus-R-logo.png,,,2023-02-11 10:00am,2023-02-11 6:00pm,UTC,0,PC-Steam
GGACPR - JP - (PC-Steam),Guilty Gear XX Accent Core Plus R,+R,GGACPR,JP,Japan,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-japan/overview,,None,https://twitch.tv/guiltygearacprdiscord,https://twitch.tv/guiltygearacprdiscord,https://matcherino.com/tournaments/87067,60/30/10,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,No activating Aba Danzai Glitch pre match.,,Mech,https://dl.airtable.com/.attachments/5a69cc478ce0d702fe91d9f10bb4c114/75bbcc2c/Guilty-Gear-XX-Accent-Core-Plus-R-logo.png,,,2023-02-17 6:00pm,2023-02-18 11:00am,JST,9,PC-Steam
GGACPR - NA - (PC-Steam),Guilty Gear XX Accent Core Plus R,+R,GGACPR,NA,,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-na/overview,,None,https://twitch.tv/guiltygearacprdiscord,https://twitch.tv/guiltygearacprdiscord,https://matcherino.com/tournaments/87068,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,No activating Aba Danzai Glitch pre match.,,Mech,https://dl.airtable.com/.attachments/5a69cc478ce0d702fe91d9f10bb4c114/75bbcc2c/Guilty-Gear-XX-Accent-Core-Plus-R-logo.png,,,2023-02-12 2:00pm,2023-02-12 2:00pm,PST,-8,PC-Steam
GGACPR - OCE - (PC-Steam),Guilty Gear XX Accent Core Plus R,+R,GGACPR,OCE,"Australia, New Zealand
Other countries listed within the Oceania region (i.e New Caledonia, Papua New Guinea) may be allowed pending connection tests.",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-oceania/overview,,None,https://twitch.tv/Firery,twitch.tv/Firery,https://matcherino.com/tournaments/87069,50/30/20,Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,No activating Aba Danzai Glitch pre match.,,Firery,https://dl.airtable.com/.attachments/5a69cc478ce0d702fe91d9f10bb4c114/75bbcc2c/Guilty-Gear-XX-Accent-Core-Plus-R-logo.png,,,2023-03-04 12:00am,2023-03-04 7:00pm,AEDT,11,PC-Steam
GGACPR - SA/BR - (PC-Steam),Guilty Gear XX Accent Core Plus R,+R,GGACPR,SA/BR,Brazil only.,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-br/overview,,None,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,https://matcherino.com/tournaments/87070,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals","- EX or SP versions of the characters are not allowed.
- GG and GGX modes are not allowed as well. ",Winner must keep character. Loser may switch.,,,Zate,https://dl.airtable.com/.attachments/5a69cc478ce0d702fe91d9f10bb4c114/75bbcc2c/Guilty-Gear-XX-Accent-Core-Plus-R-logo.png,,,2023-02-26 11:00am,2023-02-26 4:00pm,BRT,-3,PC-Steam
GGACPR - SA/SUD - (PC-Steam),Guilty Gear XX Accent Core Plus R,+R,GGACPR,SA/SUD,"Argentina, Bolivia, Chile, Paraguay, Peru, Uruguay",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-sud/overview,,64,https://twitch.tv/cgiogio,https://twitch.tv/cgiogio,https://matcherino.com/tournaments/87071,60/30/10,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,Giogio,https://dl.airtable.com/.attachments/5a69cc478ce0d702fe91d9f10bb4c114/75bbcc2c/Guilty-Gear-XX-Accent-Core-Plus-R-logo.png,,,2023-02-10 2:00pm,2023-02-10 7:00pm,BRT,-3,PC-Steam
GGACPR - SEA - (PC-Steam),Guilty Gear XX Accent Core Plus R,+R,GGACPR,SEA," Singapore, Thailand Philippines, Indonesia, Laos, Malaysia, Vietnam, Brunei,Myanmar, Cambodia, Timor-Leste",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-sea/overview,,None,https://twitch.tv/airdasher_sea,https://twitch.tv/airdasher_sea,https://matcherino.com/tournaments/87072,50/30/20,Region + Skill,Double Elimination,2/3,2/3,Top 8,"3/5 Games for Losers Finals,3/5 Games for Winners Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,VGD,https://dl.airtable.com/.attachments/5a69cc478ce0d702fe91d9f10bb4c114/75bbcc2c/Guilty-Gear-XX-Accent-Core-Plus-R-logo.png,,,2023-02-10 8:00pm,2023-02-11 12:00pm,SGT,8,PC-Steam
JCFF - ALL - (PC-Fightcade),Jackie Chan in Fists of Fire,Jackie Chan,JCFF,ALL,Global,https://www.start.gg/tournament/vortex-gallery-online-2023/event/jackie-chan-in-fists-of-fire-global/overview,,None,https://twitch.tv/gyarugarou,https://twitch.tv/gyarugarou,https://matcherino.com/tournaments/87080,60/30/10,Region + Skill,Double Elimination,2/3,3/5,Top 4,"3/5 Games for Winners Finals,3/5 Games for Losers Finals,3/5 Games for Grand Finals",,Winner must keep character. Loser may switch.,,,Gyaru,https://dl.airtable.com/.attachments/0cda2a84cb7527b69186bad0117e93e7/3fc0053a/Jackie-Chan-in-Fists-of-Fire-logo.png,"All boss characters banned except Shadow Yeung, Black Sam, Dirty Maree, and Hyper Spiritual Kung Fu Jackie. ",Latest FC2 & json rom,2023-02-10 4:00pm,2023-02-10 4:00pm,PST,-8,PC-Fightcade 2
